institution_name,inst_type,institution_city,state_abbv
"Educational Communications, Inc.",Other,Lake Forest,IL
The Alumni Associationof the University of Nebraska-Lincoln,Alumni Association,Lincoln ,NE
"Brazos Higher Education Service Corporation, Inc.",Other,Waco,TX
Regents of the University of Minnesota,University,Minneapolis,MN
United States Air Force Academy Athletic Association,Other,USAFA,CO
Arkansas State University Alumni Association,Alumni Association,State University,AR
University of California at Santa Barbara Alumni Association,Alumni Association,Santa Barbara,CA
Vassar College,University,Poughkeepsie,NY
St. Bonaventure University,University,St. Bonaventure,NY
"California State University, Hayward Alumni Association",Alumni Association,Hayward,CA
West Texas A&M University Alumni Association,Alumni Association,Canyon,TX
Northeastern Illinois University  ,University,Chicago,IL
Foothill De Anza College,University,Los Altos Hills,CA
University of Wisconsin Eau Claire Foundation,Foundation,Eau Claire,WI
"The Colleges of the Seneca, Inc.",University,Geneva,NY
Cheyney Foundation,Foundation,Cheyney,PA
"St. Catharine's College, Cambridge",University,Cambridge,UK
Keystone College Alumni Association,Alumni Association,La Plume,PA
Cavalier Sports Marketing,Other,Charlottesville,VA
National Student Speech Language Hearing Association,Other,Rockville,MD
Stevens Institute of Technology,University,Hoboken,NJ
"SUNY-Canton College Foundation, Inc.",Foundation,Canton,NY
University of Nebraska College of Medicine Alumni Association,Alumni Association,Omaha,NE
College of West Africa Alumni Association,Alumni Association,Bowie,MD
Mountain State University Alumni Association,Alumni Association,Beckley,WV
"Polytechnic Institute Alumni Association, Inc.",Alumni Association,Brooklyn,NY
"Seminole Boosters, Inc.",Other,Tallahassee,FL
American Military Society,Other,Upper Marlboro,MD
University of North Dakota Alumni Association,Alumni Association,Grand Forks,ND
Baylor University Alumni Association,Alumni Association,Waco,TX
New York University ,University,New York,NY
Butte College Foundation,Foundation,Oroville,CA
Millersville University Alumni Association,Alumni Association,Millersville,PA
"UB Alumni Association,  Inc.",Alumni Association,Buffalo,NY
SUNY Cortland Alumni Association,Alumni Association,Cortland,NY
University of Hartford Alumni Association,Alumni Association,West Hartford,CT
LSU Alumni Association,Alumni Association,Baton Rouge,LA
"SUNY College at Oneonta Alumni Association, Inc.",Alumni Association,Oneonta,NY
Rensselaer Polytechnic Institute Alumni Association,Alumni Association,Troy ,NY
Bridgewater State College Alumni Association,Alumni Association,Bridgewater,MA
Southern Connecticut State University Alumni Association,Alumni Association,New Haven,CT
University of Alabama at Birmingham National Alumni Society,Alumni Association,Birmingham,AL
Southeastern Louisiana Alumni Association,Alumni Association,Hammond,LA
University of Massachusetts-Dartmouth Alumni Association,Alumni Association,North Dartmouth,MA
North Dakota State University Alumni Association,Alumni Association,Fargo,ND
"University of North Florida Foundation, Inc.",Foundation,Jacksonville,FL
"Jacksonville State University Foundation, Inc.",Foundation,Jacksonville,AL
Florida Institute of Technology Alumni Association,Alumni Association,Melbourne,FL
University of South Alabama National Alumni Association,Alumni Association,Mobile,AL
Northern Kentucky University Foundation,Foundation,Highland Heights,KY
Southern New Hampshire University,University,Manchester,NH
University of Maine General Alumni Association,Alumni Association,Orono,ME
Winona State University Alumni Association,Alumni Association,Winona,MN
Radford University Alumni Association,Alumni Association,Radford,VA
Portland State University Alumni Association,Alumni Association,Portland,OR
Webster University Alumni Association,Alumni Association,St. Louis,MO
Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA
Long Island University,University,Brookville,NY
Minnesota State University Moorhead Alumni Association,Alumni Association,Moorhead,MN
Ithaca College Alumni Association,Alumni Association,Ithaca,NY
"Shippensburg University Foundation, Inc.",Foundation,Shippensburg,PA
University of Montana Alumni Association,Alumni Association,Missoula,MT
University of Nevada Las Vegas Alumni Association,Alumni Association,Las Vegas,NV
Johnson Wales University,University,Providence,RI
Delta Mu Delta Honor Society,Other,Brookfield,IL
"Pi Beta Phi Fraternity, Inc.",Other,Town and Country,MO
Geneseo Alumni Association,Alumni Association,Geneseo,NY
Elmhurst College Alumni Association,Alumni Association,Elmhurst,IL
Rutgers University Student and Alumni Federal Credit Union,Other,New Brunswick,NJ
Sigma Sigma Sigma,Other,Woodstock,VA
The Citadel Alumni Association,Alumni Association,Charleston,SC
American Association of University Professors,Other,Washington,DC
Administrators of the Tulane Educational Fund,Foundation,New Orleans,LA
University of Texas San Antonio Alumni Association,Alumni Association,San Antonio,TX
"California State University, Dominguez Hills Foundation, Inc.",Foundation,Carson,CA
Texas A&M University-Commerce Alumni Association,Alumni Association,Commerce,TX
Alumni Associationof the State University of New York at Albany,Alumni Association,Albany,NY
Tarleton Alumni Association,Alumni Association,Stephenville,TX
University of Wisconsin-Stevens Point Alumni Associationand Foundation,Alumni Association,Stevens Point,WI
